        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  18.00 MeV   6.466E+00  3.022E-03    1.56 mm    60.02 um    58.33 um  
  20.00 MeV   5.945E+00  2.749E-03    1.88 mm    76.55 um    69.91 um  
  22.50 MeV   5.413E+00  2.472E-03    2.32 mm   100.12 um    85.65 um  
  25.00 MeV   4.977E+00  2.248E-03    2.80 mm   122.61 um   102.75 um  
  27.50 MeV   4.612E+00  2.062E-03    3.32 mm   144.74 um   121.18 um  
  30.00 MeV   4.304E+00  1.906E-03    3.88 mm   166.85 um   140.91 um  
  32.50 MeV   4.038E+00  1.773E-03    4.48 mm   189.09 um   161.90 um  
  35.00 MeV   3.807E+00  1.658E-03    5.12 mm   211.57 um   184.12 um  
  37.50 MeV   3.605E+00  1.558E-03    5.79 mm   234.34 um   207.55 um  
  40.00 MeV   3.425E+00  1.469E-03    6.50 mm   257.43 um   232.17 um  
  45.00 MeV   3.121E+00  1.320E-03    8.02 mm   340.48 um   284.87 um  
  50.00 MeV   2.873E+00  1.200E-03    9.69 mm   418.88 um   342.05 um  
  55.00 MeV   2.667E+00  1.100E-03   11.49 mm   495.52 um   403.55 um  
  60.00 MeV   2.493E+00  1.016E-03   13.43 mm   571.66 um   469.21 um  
  65.00 MeV   2.343E+00  9.449E-04   15.49 mm   647.91 um   538.90 um  
  70.00 MeV   2.214E+00  8.832E-04   17.68 mm   724.65 um   612.48 um  
  80.00 MeV   2.000E+00  7.819E-04   22.42 mm   999.04 um   770.90 um  
  90.00 MeV   1.831E+00  7.022E-04   27.63 mm     1.25 mm   943.57 um  
 100.00 MeV   1.693E+00  6.377E-04   33.30 mm     1.50 mm     1.13 mm  
 110.00 MeV   1.579E+00  5.845E-04   39.40 mm     1.75 mm     1.33 mm  
 120.00 MeV   1.483E+00  5.397E-04   45.92 mm     1.99 mm     1.54 mm  
 130.00 MeV   1.401E+00  5.016E-04   52.84 mm     2.24 mm     1.76 mm  
 140.00 MeV   1.331E+00  4.686E-04   60.15 mm     2.48 mm     1.99 mm  
 150.00 MeV   1.269E+00  4.399E-04   67.83 mm     2.73 mm     2.24 mm  
 160.00 MeV   1.214E+00  4.146E-04   75.87 mm     2.98 mm     2.49 mm  
 170.00 MeV   1.166E+00  3.922E-04   84.25 mm     3.23 mm     2.75 mm  
 180.00 MeV   1.123E+00  3.721E-04   92.98 mm     3.48 mm     3.02 mm  
 200.00 MeV   1.049E+00  3.378E-04  111.37 mm     4.38 mm     3.59 mm  
 225.00 MeV   9.741E-01  3.031E-04  136.06 mm     5.65 mm     4.34 mm  
 250.00 MeV   9.141E-01  2.751E-04  162.51 mm     6.83 mm     5.13 mm  
 275.00 MeV   8.648E-01  2.520E-04  190.57 mm     7.96 mm     5.96 mm  
 300.00 MeV   8.236E-01  2.326E-04  220.14 mm     9.05 mm     6.83 mm  
 325.00 MeV   7.887E-01  2.160E-04  251.10 mm    10.11 mm     7.72 mm  
 350.00 MeV   7.588E-01  2.017E-04  283.36 mm    11.15 mm     8.63 mm  
 375.00 MeV   7.329E-01  1.893E-04  316.83 mm    12.18 mm     9.57 mm  
 400.00 MeV   7.103E-01  1.783E-04  351.41 mm    13.19 mm    10.53 mm  
 450.00 MeV   6.729E-01  1.600E-04  423.62 mm    16.80 mm    12.50 mm  
 500.00 MeV   6.432E-01  1.451E-04  499.51 mm    20.06 mm    14.52 mm  
 550.00 MeV   6.193E-01  1.329E-04  578.61 mm    23.09 mm    16.58 mm  
 600.00 MeV   5.996E-01  1.226E-04  660.55 mm    25.96 mm    18.67 mm  
 650.00 MeV   5.832E-01  1.138E-04  744.97 mm    28.69 mm    20.78 mm  
 700.00 MeV   5.695E-01  1.063E-04  831.61 mm    31.33 mm    22.90 mm  
 800.00 MeV   5.478E-01  9.390E-05    1.01 m     40.48 mm    27.16 mm  
 900.00 MeV   5.318E-01  8.418E-05    1.20 m     48.40 mm    31.41 mm  
   1.00 GeV   5.197E-01  7.634E-05    1.39 m     55.56 mm    35.63 mm  
   1.10 GeV   5.105E-01  6.987E-05    1.58 m     62.17 mm    39.79 mm  
