        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 250.00 MeV   1.338E+03  6.833E-01  125.02 um     4.65 um     1.20 um  
 275.00 MeV   1.254E+03  6.277E-01  144.31 um     5.40 um     1.33 um  
 300.00 MeV   1.181E+03  5.808E-01  164.85 um     6.14 um     1.47 um  
 325.00 MeV   1.116E+03  5.408E-01  186.62 um     6.88 um     1.63 um  
 350.00 MeV   1.057E+03  5.061E-01  209.64 um     7.62 um     1.79 um  
 375.00 MeV   1.005E+03  4.758E-01  233.89 um     8.36 um     1.96 um  
 400.00 MeV   9.570E+02  4.491E-01  259.38 um     9.12 um     2.13 um  
 450.00 MeV   8.745E+02  4.041E-01  314.03 um    11.97 um     2.51 um  
 500.00 MeV   8.058E+02  3.677E-01  373.59 um    14.66 um     2.92 um  
 550.00 MeV   7.480E+02  3.375E-01  437.99 um    17.28 um     3.36 um  
 600.00 MeV   6.992E+02  3.121E-01  507.12 um    19.87 um     3.84 um  
 650.00 MeV   6.579E+02  2.904E-01  580.83 um    22.47 um     4.34 um  
 700.00 MeV   6.230E+02  2.717E-01  658.92 um    25.06 um     4.87 um  
 800.00 MeV   5.619E+02  2.408E-01  827.94 um    34.68 um     6.01 um  
 900.00 MeV   5.119E+02  2.165E-01    1.01 mm    43.62 um     7.26 um  
   1.00 GeV   4.710E+02  1.968E-01    1.22 mm    52.32 um     8.62 um  
   1.10 GeV   4.369E+02  1.806E-01    1.44 mm    60.96 um    10.09 um  
   1.20 GeV   4.081E+02  1.669E-01    1.68 mm    69.62 um    11.65 um  
   1.30 GeV   3.833E+02  1.552E-01    1.93 mm    78.33 um    13.32 um  
   1.40 GeV   3.617E+02  1.451E-01    2.20 mm    87.12 um    15.08 um  
   1.50 GeV   3.428E+02  1.363E-01    2.48 mm    96.00 um    16.93 um  
   1.60 GeV   3.261E+02  1.285E-01    2.78 mm   104.98 um    18.88 um  
   1.70 GeV   3.113E+02  1.216E-01    3.09 mm   114.06 um    20.92 um  
   1.80 GeV   2.979E+02  1.155E-01    3.42 mm   123.24 um    23.04 um  
   2.00 GeV   2.750E+02  1.049E-01    4.12 mm   158.14 um    27.54 um  
   2.25 GeV   2.517E+02  9.424E-02    5.07 mm   207.76 um    33.62 um  
   2.50 GeV   2.328E+02  8.560E-02    6.10 mm   254.20 um    40.19 um  
   2.75 GeV   2.171E+02  7.847E-02    7.22 mm   299.16 um    47.20 um  
   3.00 GeV   2.039E+02  7.247E-02    8.40 mm   343.37 um    54.65 um  
   3.25 GeV   1.926E+02  6.736E-02    9.67 mm   387.20 um    62.51 um  
   3.50 GeV   1.829E+02  6.294E-02   11.00 mm   430.85 um    70.75 um  
   3.75 GeV   1.744E+02  5.909E-02   12.40 mm   474.42 um    79.36 um  
   4.00 GeV   1.669E+02  5.570E-02   13.86 mm   517.99 um    88.32 um  
   4.50 GeV   1.544E+02  5.000E-02   16.98 mm   680.57 um   107.22 um  
   5.00 GeV   1.443E+02  4.540E-02   20.33 mm   829.89 um   127.33 um  
   5.50 GeV   1.359E+02  4.159E-02   23.90 mm   972.07 um   148.52 um  
   6.00 GeV   1.289E+02  3.840E-02   27.67 mm     1.11 mm   170.69 um  
   6.50 GeV   1.230E+02  3.567E-02   31.64 mm     1.24 mm   193.76 um  
   7.00 GeV   1.179E+02  3.332E-02   35.79 mm     1.38 mm   217.63 um  
   8.00 GeV   1.097E+02  2.947E-02   44.59 mm     1.86 mm   267.50 um  
   9.00 GeV   1.032E+02  2.644E-02   53.99 mm     2.28 mm   319.78 um  
  10.00 GeV   9.812E+01  2.399E-02   63.92 mm     2.68 mm   374.02 um  
