        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 350.00 MeV   3.307E+03  1.899E+00   81.02 um     2.62 um     8963 A   
 375.00 MeV   3.177E+03  1.787E+00   88.73 um     2.84 um     9342 A   
 400.00 MeV   3.058E+03  1.688E+00   96.75 um     3.06 um     9740 A   
 450.00 MeV   2.845E+03  1.520E+00  113.70 um     3.89 um     1.06 um  
 500.00 MeV   2.661E+03  1.384E+00  131.87 um     4.67 um     1.15 um  
 550.00 MeV   2.500E+03  1.272E+00  151.25 um     5.42 um     1.25 um  
 600.00 MeV   2.359E+03  1.177E+00  171.83 um     6.16 um     1.36 um  
 650.00 MeV   2.234E+03  1.096E+00  193.61 um     6.89 um     1.47 um  
 700.00 MeV   2.122E+03  1.026E+00  216.57 um     7.62 um     1.59 um  
 800.00 MeV   1.932E+03  9.106E-01  265.95 um    10.35 um     1.85 um  
 900.00 MeV   1.778E+03  8.195E-01  319.90 um    12.87 um     2.14 um  
   1.00 GeV   1.652E+03  7.457E-01  378.25 um    15.30 um     2.45 um  
   1.10 GeV   1.547E+03  6.845E-01  440.80 um    17.69 um     2.78 um  
   1.20 GeV   1.458E+03  6.331E-01  507.36 um    20.05 um     3.13 um  
   1.30 GeV   1.375E+03  5.891E-01  577.96 um    22.41 um     3.50 um  
   1.40 GeV   1.303E+03  5.511E-01  652.66 um    24.79 um     3.90 um  
   1.50 GeV   1.238E+03  5.179E-01  731.40 um    27.19 um     4.31 um  
   1.60 GeV   1.180E+03  4.886E-01  814.11 um    29.62 um     4.74 um  
   1.70 GeV   1.129E+03  4.626E-01  900.73 um    32.07 um     5.19 um  
   1.80 GeV   1.082E+03  4.394E-01  991.19 um    34.54 um     5.66 um  
   2.00 GeV   1.000E+03  3.995E-01    1.18 mm    43.99 um     6.65 um  
   2.25 GeV   9.135E+02  3.591E-01    1.44 mm    57.52 um     7.99 um  
   2.50 GeV   8.427E+02  3.265E-01    1.73 mm    70.28 um     9.44 um  
   2.75 GeV   7.836E+02  2.994E-01    2.04 mm    82.71 um    10.99 um  
   3.00 GeV   7.336E+02  2.767E-01    2.37 mm    95.00 um    12.64 um  
   3.25 GeV   6.908E+02  2.573E-01    2.72 mm   107.25 um    14.40 um  
   3.50 GeV   6.536E+02  2.406E-01    3.09 mm   119.51 um    16.25 um  
   3.75 GeV   6.210E+02  2.259E-01    3.48 mm   131.83 um    18.19 um  
   4.00 GeV   5.922E+02  2.131E-01    3.90 mm   144.20 um    20.22 um  
   4.50 GeV   5.436E+02  1.914E-01    4.78 mm   190.73 um    24.53 um  
   5.00 GeV   5.042E+02  1.739E-01    5.73 mm   233.85 um    29.17 um  
   5.50 GeV   4.715E+02  1.594E-01    6.76 mm   275.30 um    34.11 um  
   6.00 GeV   4.441E+02  1.472E-01    7.85 mm   315.84 um    39.34 um  
   6.50 GeV   4.206E+02  1.369E-01    9.01 mm   355.84 um    44.83 um  
   7.00 GeV   4.004E+02  1.279E-01   10.23 mm   395.51 um    50.57 um  
   8.00 GeV   3.672E+02  1.132E-01   12.83 mm   541.15 um    62.74 um  
   9.00 GeV   3.412E+02  1.016E-01   15.66 mm   672.99 um    75.74 um  
  10.00 GeV   3.202E+02  9.226E-02   18.68 mm   797.80 um    89.49 um 
