       Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 400.00 MeV   1.615E+03  8.737E-01  173.64 um     5.77 um     1.73 um  
 450.00 MeV   1.510E+03  7.870E-01  205.65 um     7.35 um     1.96 um  
 500.00 MeV   1.420E+03  7.166E-01  239.79 um     8.80 um     2.19 um  
 550.00 MeV   1.341E+03  6.583E-01  276.01 um    10.20 um     2.44 um  
 600.00 MeV   1.272E+03  6.092E-01  314.28 um    11.56 um     2.70 um  
 650.00 MeV   1.210E+03  5.672E-01  354.58 um    12.91 um     2.98 um  
 700.00 MeV   1.153E+03  5.309E-01  396.90 um    14.24 um     3.26 um  
 800.00 MeV   1.056E+03  4.711E-01  487.52 um    19.19 um     3.87 um  
 900.00 MeV   9.739E+02  4.240E-01  586.13 um    23.75 um     4.52 um  
   1.00 GeV   9.059E+02  3.857E-01  692.58 um    28.15 um     5.21 um  
   1.10 GeV   8.472E+02  3.541E-01  806.72 um    32.48 um     5.95 um  
   1.20 GeV   7.949E+02  3.275E-01  928.57 um    36.80 um     6.74 um  
   1.30 GeV   7.495E+02  3.047E-01    1.06 mm    41.15 um     7.56 um  
   1.40 GeV   7.098E+02  2.850E-01    1.20 mm    45.52 um     8.43 um  
   1.50 GeV   6.747E+02  2.679E-01    1.34 mm    49.94 um     9.34 um  
   1.60 GeV   6.425E+02  2.527E-01    1.49 mm    54.40 um    10.30 um  
   1.70 GeV   6.132E+02  2.392E-01    1.65 mm    58.93 um    11.29 um  
   1.80 GeV   5.868E+02  2.272E-01    1.82 mm    63.51 um    12.33 um  
   2.00 GeV   5.412E+02  2.066E-01    2.17 mm    81.04 um    14.52 um  
   2.25 GeV   4.947E+02  1.857E-01    2.66 mm   106.13 um    17.49 um  
   2.50 GeV   4.566E+02  1.688E-01    3.18 mm   129.72 um    20.70 um  
   2.75 GeV   4.250E+02  1.548E-01    3.75 mm   152.67 um    24.13 um  
   3.00 GeV   3.982E+02  1.431E-01    4.36 mm   175.33 um    27.79 um  
   3.25 GeV   3.753E+02  1.330E-01    5.00 mm   197.89 um    31.66 um  
