        Ion        dEdx      dEdx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   3.75 GeV   3.230E-01  1.626E-05   10.64 m    342.63 mm   164.81 mm  
   4.00 GeV   3.245E-01  1.530E-05   11.41 m    359.87 mm   172.99 mm  
   4.50 GeV   3.275E-01  1.370E-05   12.95 m    420.58 mm   188.48 mm  
   5.00 GeV   3.306E-01  1.241E-05   14.46 m    472.66 mm   202.96 mm  
   5.50 GeV   3.336E-01  1.135E-05   15.97 m    518.74 mm   216.56 mm  
   6.00 GeV   3.365E-01  1.046E-05   17.46 m    560.34 mm   229.40 mm  
   6.50 GeV   3.393E-01  9.704E-06   18.94 m    598.42 mm   241.56 mm  
   7.00 GeV   3.421E-01  9.052E-06   20.41 m    633.67 mm   253.12 mm  
   8.00 GeV   3.472E-01  7.985E-06   23.31 m    755.33 mm   274.69 mm  
   9.00 GeV   3.519E-01  7.148E-06   26.17 m    857.21 mm   294.53 mm  
  10.00 GeV   3.563E-01  6.474E-06   28.99 m    946.00 mm   312.91 mm  
