       Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 275.00 MeV   8.764E+02  4.536E-01  208.71 um     7.71 um     1.78 um  
 300.00 MeV   8.232E+02  4.197E-01  238.14 um     8.77 um     1.94 um  
 325.00 MeV   7.756E+02  3.907E-01  269.42 um     9.83 um     2.12 um  
 350.00 MeV   7.327E+02  3.656E-01  302.57 um    10.90 um     2.30 um  
 375.00 MeV   6.940E+02  3.437E-01  337.62 um    11.98 um     2.50 um  
 400.00 MeV   6.589E+02  3.244E-01  374.58 um    13.08 um     2.70 um  
 450.00 MeV   5.981E+02  2.919E-01  454.23 um    17.29 um     3.16 um  
 500.00 MeV   5.479E+02  2.655E-01  541.57 um    21.27 um     3.65 um  
 550.00 MeV   5.064E+02  2.437E-01  636.48 um    25.17 um     4.19 um  
 600.00 MeV   4.722E+02  2.254E-01  738.72 um    29.05 um     4.78 um  
 650.00 MeV   4.443E+02  2.097E-01  847.85 um    32.92 um     5.40 um  
 700.00 MeV   4.218E+02  1.961E-01  963.32 um    36.78 um     6.07 um  
 800.00 MeV   3.815E+02  1.738E-01    1.21 mm    51.00 um     7.49 um  
 900.00 MeV   3.472E+02  1.563E-01    1.49 mm    64.17 um     9.06 um  
   1.00 GeV   3.192E+02  1.421E-01    1.79 mm    77.01 um    10.77 um  
   1.10 GeV   2.959E+02  1.303E-01    2.11 mm    89.77 um    12.61 um  
   1.20 GeV   2.761E+02  1.204E-01    2.46 mm   102.57 um    14.58 um  
   1.30 GeV   2.592E+02  1.120E-01    2.84 mm   115.46 um    16.68 um  
   1.40 GeV   2.445E+02  1.047E-01    3.23 mm   128.47 um    18.90 um  
   1.50 GeV   2.316E+02  9.833E-02    3.65 mm   141.63 um    21.24 um  
   1.60 GeV   2.202E+02  9.273E-02    4.10 mm   154.94 um    23.70 um  
   1.70 GeV   2.101E+02  8.775E-02    4.56 mm   168.40 um    26.27 um  
   1.80 GeV   2.010E+02  8.330E-02    5.05 mm   182.01 um    28.96 um  
   2.00 GeV   1.854E+02  7.568E-02    6.08 mm   233.87 um    34.66 um  
   2.25 GeV   1.695E+02  6.797E-02    7.49 mm   307.63 um    42.37 um  
   2.50 GeV   1.567E+02  6.174E-02    9.03 mm   376.70 um    50.70 um  
   2.75 GeV   1.460E+02  5.659E-02   10.68 mm   443.60 um    59.62 um  
   3.00 GeV   1.371E+02  5.226E-02   12.45 mm   509.43 um    69.09 um  
   3.25 GeV   1.294E+02  4.857E-02   14.33 mm   574.73 um    79.09 um  
   3.50 GeV   1.228E+02  4.538E-02   16.31 mm   639.79 um    89.59 um  
   3.75 GeV   1.171E+02  4.261E-02   18.39 mm   704.78 um   100.57 um  
   4.00 GeV   1.120E+02  4.016E-02   20.58 mm   769.78 um   112.00 um  
   4.50 GeV   1.035E+02  3.605E-02   25.22 mm     1.01 mm   136.14 um  
   5.00 GeV   9.662E+01  3.272E-02   30.22 mm     1.24 mm   161.83 um  
   5.50 GeV   9.098E+01  2.998E-02   35.56 mm     1.45 mm   188.95 um  
   6.00 GeV   8.626E+01  2.768E-02   41.20 mm     1.65 mm   217.34 um  
   6.50 GeV   8.225E+01  2.571E-02   47.14 mm     1.86 mm   246.90 um  
   7.00 GeV   7.881E+01  2.402E-02   53.35 mm     2.05 mm   277.52 um  
   8.00 GeV   7.321E+01  2.124E-02   66.51 mm     2.77 mm   341.55 um  
   9.00 GeV   6.887E+01  1.905E-02   80.60 mm     3.42 mm   408.75 um  
  10.00 GeV   6.541E+01  1.729E-02   95.50 mm     4.02 mm   478.54 um  
